,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles,Planes
30,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H1,2.0,1.0,1,1,0.224,[173.265],set()
31,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H2,2.0,1.0,1,1,0.112,[176.562],set()
32,10386.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H3,2.0,1.0,1,1,0.283,[172.265],set()
52,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,H1,2.0,1.0,1,1,0.13,[168.294],set()
53,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,H2,2.0,1.0,1,1,0.29,[163.699],set()
54,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,H3,2.0,1.0,1,1,0.304,[155.313],set()
58,150858.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,H2,2.0,1.0,1,1,0.046,[174.938],set()
63,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,H1,2.0,1.0,1,1,0.045,[164.472],set()
136,152166.cif,F1-:76.000 H1+:72.000 Li1+:4.000 N3-:16.000 Zr4+:12.000,H1,2.0,1.0,1,1,0.272,[172.885],set()
137,152166.cif,F1-:76.000 H1+:72.000 Li1+:4.000 N3-:16.000 Zr4+:12.000,H2,2.0,1.0,1,1,0.305,[173.72],set()
144,152167.cif,F1-:76.000 H1+:8.000 Li1+:4.000 Rb1+:16.000 Zr4+:12.000,H1,2.0,1.0,1,1,0.251,[166.68],set()
145,152167.cif,F1-:76.000 H1+:8.000 Li1+:4.000 Rb1+:16.000 Zr4+:12.000,H2,2.0,1.0,1,1,0.254,[149.883],set()
161,156888.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
162,156890.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
163,156892.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
164,156894.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
165,156896.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
166,156898.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
167,156900.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
168,156902.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
212,159728.cif,Li1+:24.384 Nd3+:24.000 O2-:96.000 Sb5+:0.400 Te6+:15.600,Li2,2.0,1.0,2,1,0.341,[146.804],set()
213,159729.cif,Li1+:24.864 Nd3+:24.000 O2-:96.000 Sb5+:0.800 Te6+:15.200,Li2,2.0,1.0,2,1,0.345,[145.935],set()
214,159730.cif,Li1+:25.632 Nd3+:24.000 O2-:96.000 Sb5+:1.600 Te6+:14.400,Li2,2.0,1.0,2,1,0.346,[145.771],set()
215,159731.cif,Li1+:27.984 Nd3+:24.000 O2-:96.000 Sb5+:4.000 Te6+:12.000,Li2,2.0,1.0,2,1,0.345,[145.568],set()
216,159732.cif,Li1+:32.040 Nd3+:24.000 O2-:96.000 Sb5+:8.000 Te6+:8.000,Li2,2.0,1.0,2,1,0.349,[144.845],set()
224,161494.cif,Al3+:4.000 H1+:8.000 Li1+:4.000 O2-:20.000 Si4+:4.000,H2,2.0,1.0,1,1,0.111,[105.29],set()
227,161495.cif,Al3+:4.000 H1+:8.000 Li1+:4.000 O2-:20.000 Si4+:4.000,H1,2.0,1.0,1,1,0.06,[69.2],set()
231,161497.cif,Al3+:4.000 H1+:8.000 Li1+:4.000 O2-:20.000 Si4+:4.000,H1,2.0,1.0,1,1,0.298,[170.367],set()
256,16408.cif,Al3+:4.000 Cl1-:16.000 Li1+:4.000 O2-:24.000 S4+:12.000,S1,2.0,4.0,3,6,0.018,[117.432],set()
257,16408.cif,Al3+:4.000 Cl1-:16.000 Li1+:4.000 O2-:24.000 S4+:12.000,S2,2.0,4.0,3,6,0.004,[118.64],set()
261,165259.cif,Au1+:8.000 Li1+:8.000 S2-:8.000,Au1,2.0,1.0,6,1,0.0,[180.0],set()
262,165259.cif,Au1+:8.000 Li1+:8.000 S2-:8.000,Au2,2.0,1.0,6,1,0.0,[180.0],set()
424,180319.cif,Li1+:12.000 P5+:4.000 S2-:16.000,Li3,2.0,1.0,2,1,0.419,[123.175],set()
522,190655.cif,As5+:6.000 Li1+:4.000 O2-:48.000 P5+:6.000 Zr4+:8.000,Li1,2.0,1.0,2,1,0.006,[127.431],set()
707,20096.cif,Cd2+:8.000 Ge4+:10.000 H1+:2.000 Li1+:2.000 O2-:30.000,H1,2.0,1.0,1,1,0.09,[169.143],set()
715,20136.cif,Cl1-:1.000 D1+:2.000 Li1+:1.000 O2-:1.000,D1,2.0,1.0,1,1,0.244,[179.19],set()
797,237525.cif,B3+:12.000 Cu2+:9.000 Li1+:2.000 O2-:28.000,Cu4,2.0,2.0,4,1,0.0,[180.0],set()
813,237658.cif,As5+:2.000 F1-:24.000 Li1+:2.000 Xe2+:6.000,Xe3,2.0,2.0,5,8,0.031,[178.015],set()
814,237908.cif,Fe2+:1.968 Li1+:3.640 Mn2+:2.152 O2-:16.000 P5+:4.000,Fe2,2.0,2.0,4,8,0.063,[155.313],set()
823,23883.cif,F1-:2.000 H1+:1.000 Li1+:1.000,H1,2.0,1.0,1,1,0.0,[180.0],set()
884,243497.cif,C2+:12.000 H1+:12.000 Li1+:4.000 Mn2+:4.000 O2-:24.000,C1,2.0,2.0,2,4,0.008,[126.015],set()
885,243497.cif,C2+:12.000 H1+:12.000 Li1+:4.000 Mn2+:4.000 O2-:24.000,H1,2.0,1.0,1,1,0.0,[73.232],set()
888,243499.cif,C2+:12.000 Co2+:4.000 H1+:12.000 Li1+:4.000 O2-:24.000,C1,2.0,2.0,2,4,0.015,[126.627],set()
889,243499.cif,C2+:12.000 Co2+:4.000 H1+:12.000 Li1+:4.000 O2-:24.000,H1,2.0,1.0,1,1,0.001,[73.519],set()
891,244009.cif,H1+:2.000 Li1+:4.000 O2-:16.000 P5+:4.000 V3+:2.000,H1,2.0,1.0,1,1,0.226,[162.402],set()
1141,261364.cif,Ca2+:3.000 Li1+:4.000 Nb5+:6.000 O2-:20.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
1173,27179.cif,D1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,D1,2.0,1.0,1,1,0.24,[172.568],set()
1174,27179.cif,D1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,D2,2.0,1.0,1,1,0.183,[176.199],set()
1201,280534.cif,Au1+:16.000 Li1+:16.000 S2-:16.000,Au1,2.0,1.0,6,1,0.0,[180.0],set()
1202,280535.cif,Au1+:4.000 Li1+:12.000 S2-:8.000,Au1,2.0,1.0,6,1,0.0,[180.0],set()
1306,34280.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
1310,34779.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
1311,34780.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
1312,34781.cif,Li1+:3.000 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
1355,39263.cif,H1+:32.000 Li1+:8.000 Mo6+:8.000 Na1+:8.000 O2-:48.000,H2,2.0,1.0,1,1,0.176,[176.659],set()
1384,400339.cif,B3+:6.000 Ca2+:8.000 Li1+:2.000 N3-:12.000,B1,2.0,3.0,2,3,0.0,[180.0],set()
1390,400465.cif,B3+:6.000 Eu2+:8.000 Li1+:2.000 N3-:12.000,B1,2.0,3.0,2,3,0.0,[180.0],set()
1397,402173.cif,B3+:6.000 Li1+:2.000 N3-:12.000 Sr2+:8.000,B1,2.0,3.0,2,3,0.0,[180.0],set()
1407,40746.cif,Cl1-:12.000 Cu2+:4.000 H1+:16.000 Li1+:4.000 O2-:8.000,H1,2.0,1.0,1,1,0.356,[138.279],set()
1408,40746.cif,Cl1-:12.000 Cu2+:4.000 H1+:16.000 Li1+:4.000 O2-:8.000,H2,2.0,1.0,1,1,0.338,[131.33],set()
1409,40746.cif,Cl1-:12.000 Cu2+:4.000 H1+:16.000 Li1+:4.000 O2-:8.000,H3,2.0,1.0,1,1,0.327,[175.635],set()
1410,40746.cif,Cl1-:12.000 Cu2+:4.000 H1+:16.000 Li1+:4.000 O2-:8.000,H4,2.0,1.0,1,1,0.349,[132.423],set()
1428,41022.cif,B3+:4.000 Li1+:12.000 N3-:8.000,B1,2.0,3.0,2,3,0.008,[179.19],set()
1434,411256.cif,H1+:20.000 Li1+:4.000 O2-:24.000 Te6+:4.000,H2,2.0,1.0,1,1,0.183,[171.69],set()
1435,411256.cif,H1+:20.000 Li1+:4.000 O2-:24.000 Te6+:4.000,H1,2.0,1.0,1,1,0.215,[174.623],set()
1442,413716.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 Se6+:16.000,H2,2.0,1.0,1,1,0.047,[165.105],set()
1654,424485.cif,C4+:10.000 Gd3+:4.048 Li1+:4.000 N3-:20.000 Sr2+:1.960,C1,2.0,4.0,2,4,0.088,[179.19],set()
1655,424485.cif,C4+:10.000 Gd3+:4.048 Li1+:4.000 N3-:20.000 Sr2+:1.960,C2,2.0,4.0,2,4,0.114,[180.0],set()
1656,424485.cif,C4+:10.000 Gd3+:4.048 Li1+:4.000 N3-:20.000 Sr2+:1.960,C3,2.0,4.0,2,4,0.0,[180.0],set()
1665,424963.cif,C4+:8.000 Li1+:4.000 N3-:16.000 Y3+:4.000,C1,2.0,4.0,2,4,0.065,[180.0],set()
1667,425113.cif,C4+:8.000 Li1+:4.000 N3-:12.000,C1,2.0,4.0,2,4,0.265,[173.565],set()
1668,425113.cif,C4+:8.000 Li1+:4.000 N3-:12.000,C2,2.0,4.0,2,4,0.271,[173.565],set()
1702,426274.cif,Al3+:4.000 Ba2+:8.000 C4+:16.000 Li1+:4.000 N3-:32.000,C1,2.0,4.0,2,4,0.101,[178.188],set()
1703,426274.cif,Al3+:4.000 Ba2+:8.000 C4+:16.000 Li1+:4.000 N3-:32.000,C2,2.0,4.0,2,4,0.145,[179.19],set()
1704,426274.cif,Al3+:4.000 Ba2+:8.000 C4+:16.000 Li1+:4.000 N3-:32.000,C3,2.0,4.0,2,4,0.088,[178.854],set()
1705,426274.cif,Al3+:4.000 Ba2+:8.000 C4+:16.000 Li1+:4.000 N3-:32.000,C4,2.0,4.0,2,4,0.106,[177.193],set()
1707,426577.cif,C4+:16.000 Ga3+:3.936 Li1+:4.080 N3-:32.000 Sr2+:8.000,C1,2.0,4.0,2,4,0.076,[176.113],set()
1708,426577.cif,C4+:16.000 Ga3+:3.936 Li1+:4.080 N3-:32.000 Sr2+:8.000,C2,2.0,4.0,2,4,0.151,[178.188],set()
1726,427746.cif,Cu1+:7.228 Li1+:8.772 S2-:8.000,Cu2,2.0,1.0,4,1,0.0,[180.0],set()
1727,427746.cif,Cu1+:7.228 Li1+:8.772 S2-:8.000,Li2,2.0,1.0,2,1,0.0,[180.0],set()
1738,428056.cif,Al3+:4.000 C4+:8.000 Li1+:4.000 N3-:16.000,C1,2.0,4.0,2,4,0.086,[178.854],set()
1745,428405.cif,Fe3+:8.000 Li1+:12.000 O2-:48.000 P5+:12.000,Fe1,2.0,3.0,4,8,1.534,[80.294],set()
1753,430275.cif,C4+:16.000 K1+:4.000 Li1+:4.000 N3-:24.000,C1,2.0,4.0,2,4,0.25,[172.932],set()
1756,430276.cif,C4+:16.000 Li1+:4.000 N3-:24.000 Rb1+:4.000,C1,2.0,4.0,2,4,0.245,[173.025],set()
1790,47158.cif,H1+:4.000 Li1+:4.000 N3+:4.000 O2-:12.000,N1,2.0,3.0,2,5,0.014,[114.035],set()
1932,61065.cif,Ag1+:8.000 Li1+:4.000 N3+:12.000 O2-:24.000,N1,2.0,3.0,2,5,0.044,[116.193],set()
2041,69051.cif,Cu1+:8.000 Cu2+:8.000 Li1+:8.000 O2-:16.000,Cu1,2.0,1.0,4,1,0.012,[178.597],set()
2042,69052.cif,Cu1+:1.000 Cu2+:2.000 Li1+:1.000 O2-:3.000,Cu1,2.0,1.0,4,1,0.0,[180.0],set()
2071,7.cif,H1+:8.000 Li1+:4.000 O2-:12.000 P3+:4.000,H2,2.0,1.0,1,1,0.248,[171.611],set()
2076,71059.cif,Fe2+:8.000 Li1+:4.000 N3-:12.000 Sr2+:8.000,Li1,2.0,1.0,2,1,0.0,[150.146],set()
2077,71060.cif,Ba2+:8.000 Fe2+:8.000 Li1+:4.000 N3-:12.000,Li1,2.0,1.0,2,1,0.0,[150.75],set()
2078,71221.cif,Cu1+:4.000 Cu2+:4.000 Li1+:4.000 O2-:8.000,Cu1,2.0,1.0,4,1,0.004,[177.856],set()
2083,71683.cif,Cu1+:4.000 Cu2+:4.000 Li1+:4.000 O2-:8.000,Cu1,2.0,1.0,4,1,0.019,[178.854],set()
2084,71684.cif,Cu1+:1.000 Cu2+:2.000 Li1+:1.000 O2-:3.000,Cu1,2.0,1.0,4,1,0.0,[180.0],set()
2087,71946.cif,B3+:16.000 H1+:24.000 Li1+:8.000 O2-:40.000,H1,2.0,1.0,1,1,0.255,[154.972],set()
2088,71946.cif,B3+:16.000 H1+:24.000 Li1+:8.000 O2-:40.000,H3,2.0,1.0,1,1,0.204,[102.087],set()
2104,73857.cif,H1+:0.680 I5+:2.000 Li1+:1.320 O2-:6.000,H1,2.0,1.0,1,1,0.146,[176.562],set()
2105,73858.cif,H1+:0.680 I5+:2.000 Li1+:1.320 O2-:6.000,H1,2.0,1.0,1,1,0.152,[176.758],set()
2106,73859.cif,H1+:0.680 I5+:2.000 Li1+:1.320 O2-:6.000,H1,2.0,1.0,1,1,0.151,[175.635],set()
2107,73860.cif,H1+:0.680 I5+:2.000 Li1+:1.320 O2-:6.000,H1,2.0,1.0,1,1,0.133,[173.168],set()
2108,73861.cif,H1+:0.680 I5+:2.000 Li1+:1.320 O2-:6.000,H1,2.0,1.0,1,1,0.136,[174.747],set()
2109,73862.cif,H1+:0.680 I5+:2.000 Li1+:1.320 O2-:6.000,H1,2.0,1.0,1,1,0.119,[176.376],set()
2147,77833.cif,H1+:0.558 I5+:2.000 Li1+:1.320 O2-:6.000,H1,2.0,1.0,1,1,0.126,[180.0],set()
2148,77834.cif,H1+:0.558 I5+:2.000 Li1+:1.320 O2-:6.000,H1,2.0,1.0,1,1,0.097,[178.854],set()
2155,78819.cif,Br1-:1.000 Li1+:10.000 N3-:3.000,Li1,2.0,1.0,2,1,0.0,[173.314],set()
2270,8243.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H1,2.0,1.0,1,1,0.267,[172.096],set()
2271,8243.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H2,2.0,1.0,1,1,0.111,[175.789],set()
2272,8243.cif,H1+:6.000 Li1+:2.000 O2-:12.000 Se4+:4.000,H3,2.0,1.0,1,1,0.284,[172.48],set()
2292,83419.cif,B3+:6.000 Ca2+:8.000 Li1+:2.000 N3-:12.000,B1,2.0,3.0,2,3,0.0,[180.0],set()
2338,84448.cif,Al3+:96.000 Li1+:95.680 O2-:384.000 Si4+:96.000,Li4,2.0,1.0,2,1,0.018,[92.252],set()
2376,85605.cif,D1+:4.157 Li1+:0.640 Mn4+:9.604 Mn5+:4.156 O2-:32.000,D1,2.0,1.0,1,1,0.249,[153.949],set()
2377,85606.cif,H1+:4.800 Li1+:0.640 Mn4+:10.237 Mn5+:3.523 O2-:32.000,H1,2.0,1.0,1,1,0.259,[150.424],set()
2378,85607.cif,H1+:2.237 Li1+:5.760 Mn3+:1.598 Mn4+:12.802 O2-:32.000,H1,2.0,1.0,1,1,0.242,[146.793],set()
2394,87413.cif,Li1+:16.000 N3-:8.000 Sr2+:4.000,Li1,2.0,1.0,2,1,0.0,[174.502],set()
2395,87414.cif,Li1+:2.000 N3-:2.000 Sr2+:2.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
2413,89240.cif,B3+:16.000 H1+:24.000 Li1+:8.000 O2-:40.000,H1,2.0,1.0,1,1,0.255,[154.972],set()
2414,89240.cif,B3+:16.000 H1+:24.000 Li1+:8.000 O2-:40.000,H3,2.0,1.0,1,1,0.204,[102.093],set()
2419,89242.cif,B3+:16.000 H1+:24.000 Li1+:8.000 O2-:40.000,H3,2.0,1.0,1,1,0.273,[167.877],set()
2503,9433.cif,Be2+:4.000 F1-:16.000 H1+:16.000 Li1+:4.000 N3-:4.000,H3,2.0,1.0,1,1,0.207,[153.05],set()
2524,95939.cif,Li1+:2.920 N3-:1.000,Li1,2.0,1.0,2,1,0.0,[180.0],set()
2577,97702.cif,Al3+:2.000 H1+:4.000 Li1+:2.000 O2-:14.000 Si4+:4.000,H4,2.0,1.0,1,1,0.053,[140.067],set()
2636,10266.cif,B3+:36.000 H1+:90.000 Na1+:18.000 O2-:108.000,H2,2.0,1.0,1,1,0.287,[178.854],set()
2642,10378.cif,B3+:16.000 H1+:32.000 Na1+:8.000 O2-:44.000,H7,2.0,1.0,1,1,0.254,[166.68],set()
2693,14161.cif,H1+:64.000 Na1+:8.000 O2-:32.000 Se2-:8.000 Sn4+:2.000,H2,2.0,1.0,1,1,0.209,[146.71],set()
2694,14161.cif,H1+:64.000 Na1+:8.000 O2-:32.000 Se2-:8.000 Sn4+:2.000,H16,2.0,1.0,1,1,0.206,[152.536],set()
2708,14306.cif,Al3+:4.000 H1+:96.000 Na1+:4.000 O2-:80.000 S6+:8.000,H4,2.0,1.0,1,1,0.291,[174.443],set()
2730,15066.cif,H1+:12.000 Na1+:4.000 O2-:20.000 S6+:4.000,H3,2.0,1.0,1,1,0.272,[177.078],set()
2749,150910.cif,Co3+:0.600 Co4+:1.400 Na1+:0.600 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[180.0],set()
2750,150911.cif,Co3+:0.600 Co4+:1.400 Na1+:0.600 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[180.0],set()
2753,151429.cif,C4+:6.000 H1+:24.000 Na1+:6.000 O2-:30.000 Y3+:2.000,H2,2.0,1.0,1,1,0.226,[158.404],set()
2754,151429.cif,C4+:6.000 H1+:24.000 Na1+:6.000 O2-:30.000 Y3+:2.000,H3,2.0,1.0,1,1,0.246,[157.789],set()
2765,151791.cif,Co3+:1.440 Co4+:0.560 Na1+:1.442 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[163.058],set()
2766,151792.cif,Co3+:1.460 Co4+:0.540 Na1+:1.452 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[163.196],set()
2767,151793.cif,Co3+:1.420 Co4+:0.580 Na1+:1.422 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[163.925],set()
2768,151794.cif,Co3+:1.500 Co4+:0.500 Na1+:1.492 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[160.926],set()
2769,151796.cif,Co3+:1.500 Co4+:0.500 Na1+:1.492 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[164.196],set()
2770,151797.cif,Co3+:1.520 Co4+:0.480 Na1+:1.524 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[168.962],set()
2771,151798.cif,Co3+:1.500 Co4+:0.500 Na1+:1.498 O2-:4.000,Na2,2.0,1.0,3,1,0.0,[165.743],set()
2791,152164.cif,F1-:38.000 H1+:36.000 N3-:8.000 Na1+:2.000 Zr4+:6.000,H11,2.0,1.0,1,1,0.295,[143.911],set()
2792,152164.cif,F1-:38.000 H1+:36.000 N3-:8.000 Na1+:2.000 Zr4+:6.000,H1,2.0,1.0,1,1,0.236,[163.335],set()
2793,152164.cif,F1-:38.000 H1+:36.000 N3-:8.000 Na1+:2.000 Zr4+:6.000,H2,2.0,1.0,1,1,0.278,[165.466],set()
2794,152164.cif,F1-:38.000 H1+:36.000 N3-:8.000 Na1+:2.000 Zr4+:6.000,H13,2.0,1.0,1,1,0.311,[138.461],set()
2795,152164.cif,F1-:38.000 H1+:36.000 N3-:8.000 Na1+:2.000 Zr4+:6.000,H15,2.0,1.0,1,1,0.28,[172.978],set()
2801,152165.cif,Cs1+:8.000 F1-:38.000 H1+:4.000 Hf4+:6.000 Na1+:2.000,H1,2.0,1.0,1,1,0.196,[167.369],set()
2834,15368.cif,Al3+:4.000 H1+:96.000 Na1+:4.000 O2-:80.000 S6+:8.000,H4,2.0,1.0,1,1,0.275,[172.932],set()
2835,15389.cif,H1+:80.000 Na1+:16.000 O2-:68.000 P5+:8.000,H6,2.0,1.0,1,1,0.211,[170.823],set()
2836,15389.cif,H1+:80.000 Na1+:16.000 O2-:68.000 P5+:8.000,H10,2.0,1.0,1,1,0.169,[160.288],set()
2878,154671.cif,H1+:20.000 Na1+:8.000 O2-:32.000 Se6+:4.000 Te6+:2.000,H4,2.0,1.0,1,1,0.059,[150.844],set()
3027,158304.cif,Al3+:4.000 K1+:3.200 Na1+:0.800 O2-:32.000 Si4+:12.000,Al1,2.0,3.0,3,3,0.3,[90.292],set()
3028,158304.cif,Al3+:4.000 K1+:3.200 Na1+:0.800 O2-:32.000 Si4+:12.000,Si1,2.0,4.0,3,4,0.301,[90.292],set()
3172,162464.cif,H1+:144.000 Na1+:16.000 O2-:96.000 Si4+:8.000,H3,2.0,1.0,1,1,0.2,[160.035],set()
3271,16415.cif,H1+:16.000 K1+:12.000 Na1+:4.000 O2-:56.000 P5+:16.000,H2,2.0,1.0,1,1,0.309,[171.189],set()
3272,16415.cif,H1+:16.000 K1+:12.000 Na1+:4.000 O2-:56.000 P5+:16.000,H1,2.0,1.0,1,1,0.264,[170.265],set()
3273,16415.cif,H1+:16.000 K1+:12.000 Na1+:4.000 O2-:56.000 P5+:16.000,H3,2.0,1.0,1,1,0.0,[180.0],set()
3278,16432.cif,H1+:24.000 Na1+:8.000 O2-:40.000 S6+:4.000 Te6+:4.000,H1,2.0,1.0,1,1,0.274,[175.948],set()
3279,16432.cif,H1+:24.000 Na1+:8.000 O2-:40.000 S6+:4.000 Te6+:4.000,H4,2.0,1.0,1,1,0.263,[176.659],set()
3280,16432.cif,H1+:24.000 Na1+:8.000 O2-:40.000 S6+:4.000 Te6+:4.000,H5,2.0,1.0,1,1,0.199,[176.113],set()
3281,16432.cif,H1+:24.000 Na1+:8.000 O2-:40.000 S6+:4.000 Te6+:4.000,H6,2.0,1.0,1,1,0.216,[175.205],set()
3294,165258.cif,Au1+:32.000 Na1+:32.000 S2-:32.000,Au1,2.0,1.0,6,1,0.007,[171.455],set()
3295,165258.cif,Au1+:32.000 Na1+:32.000 S2-:32.000,Au2,2.0,1.0,6,1,0.0,[170.787],set()
3296,165258.cif,Au1+:32.000 Na1+:32.000 S2-:32.000,Au3,2.0,1.0,6,1,0.0,[180.0],set()
3418,168568.cif,H1+:7.000 Na1+:5.000 O2-:18.000 Se6+:4.000,H1,2.0,1.0,1,1,0.068,[157.473],set()
3432,1698.cif,B3+:32.000 H1+:16.000 Na1+:16.000 O2-:64.000,H1,2.0,1.0,1,1,0.098,[133.181],set()
3614,1811.cif,B3+:1.000 Na1+:0.208 O2-:26.000 P5+:6.000 Sr2+:9.402,B1,2.0,3.0,2,3,0.0,[180.0],set()
3619,18183.cif,C4+:4.000 H1+:4.000 Na1+:4.000 O2-:12.000,H1,2.0,1.0,1,1,0.213,[164.644],set()
3640,183578.cif,Al3+:1.000 H1+:44.000 Na1+:3.000 O2-:50.000 V5+:10.000,H16,2.0,1.0,1,1,0.156,[142.74],set()
3677,1858.cif,Cl3+:2.000 H1+:12.000 Na1+:2.000 O2-:10.000,Cl1,2.0,3.0,3,7,0.019,[108.367],set()
3679,186289.cif,Al3+:2.000 H1+:2.000 Na1+:4.000 O2-:18.000 Si4+:6.000,H1,2.0,1.0,1,1,0.17,[175.789],set()
3703,187782.cif,H1+:32.000 Na1+:2.000 O2-:42.000 V5+:10.000,H12,2.0,1.0,1,1,0.189,[152.08],set()
3727,188086.cif,Al3+:12.000 H1+:15.968 Na1+:4.000 O2-:48.000 P5+:8.000,H1,2.0,1.0,1,1,0.319,[174.154],set()
3734,188087.cif,Al3+:12.000 H1+:16.000 Na1+:4.000 O2-:48.000 P5+:8.000,H1,2.0,1.0,1,1,0.318,[174.098],set()
3977,193826.cif,H1+:28.000 Na1+:4.000 Nb5+:8.000 O2-:36.000,H4,2.0,1.0,1,1,0.221,[142.195],set()
4036,1954.cif,Cl3+:2.000 H1+:12.000 Na1+:2.000 O2-:10.000,Cl1,2.0,3.0,3,7,0.01,[108.234],set()
4044,195514.cif,H1+:8.000 Mg2+:12.000 Na1+:4.000 O2-:48.000 P5+:12.000,H1,2.0,1.0,1,1,0.333,[173.72],set()
4141,20.cif,As5+:2.000 H1+:28.000 Na1+:6.000 O2-:20.000 S2-:2.000,H6,2.0,1.0,1,1,0.247,[148.848],set()
4142,20.cif,As5+:2.000 H1+:28.000 Na1+:6.000 O2-:20.000 S2-:2.000,H12,2.0,1.0,1,1,0.221,[161.406],set()
